,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
97,1526-1647,Red,Maokai,Kha'Zix,LeBlanc,Jhin,Bard,Zyra,Malzahar,Varus,Tahm Kench,Braum,0
98,1526-1648,Blue,Maokai,Rengar,LeBlanc,Jhin,Thresh,Zyra,Malzahar,Jayce,Varus,Corki,1
99,1526-1648,Red,Shen,Kha'Zix,Kassadin,Ezreal,Karma,Ryze,Camille,Tahm Kench,Cassiopeia,Syndra,0
100,1526-1649,Blue,Camille,Ivern,Jayce,Varus,Braum,Karma,Ryze,LeBlanc,Cassiopeia,Syndra,1
101,1526-1649,Red,Maokai,Kha'Zix,Corki,Jhin,Tahm Kench,Zyra,Malzahar,Rengar,Rek'Sai,Elise,0
102,1527-1651,Blue,Nautilus,Rengar,Karma,Caitlyn,Malzahar,Jayce,Ryze,Camille,Tahm Kench,Kennen,1
103,1527-1651,Red,Kled,Kha'Zix,LeBlanc,Varus,Zyra,Shen,Maokai,Poppy,Kassadin,Syndra,0
104,1527-1653,Blue,Kled,Vi,LeBlanc,Caitlyn,Zyra,Shen,Maokai,Rengar,Ryze,Varus,0
105,1527-1653,Red,Nautilus,Kha'Zix,Kassadin,Ashe,Miss Fortune,Jayce,Camille,Malzahar,Kennen,Elise,1
106,1528-1658,Blue,Camille,Rumble,Jayce,Miss Fortune,Zyra,Shen,LeBlanc,Rengar,Ryze,Renekton,0
107,1528-1658,Red,Fiora,Elise,Orianna,Varus,Karma,Caitlyn,Jhin,Kha'Zix,Ivern,Olaf,1
108,1528-1659,Blue,Renekton,Rek'Sai,Orianna,Varus,Karma,Caitlyn,Jhin,Malzahar,Ashe,Sivir,0
109,1528-1659,Red,Camille,Elise,Ryze,Ezreal,Zyra,Rengar,LeBlanc,Kha'Zix,Miss Fortune,Tahm Kench,1
110,1528-1662,Blue,Camille,Ivern,Syndra,Jhin,Zyra,Kha'Zix,Elise,LeBlanc,Miss Fortune,Tahm Kench,1
111,1528-1662,Red,Fiora,Rek'Sai,Taliyah,Varus,Karma,Caitlyn,Rengar,Ryze,Orianna,Sivir,0
112,1529-1665,Blue,Kennen,Elise,Aurelion Sol,Jhin,Zyra,Jayce,Ivern,Malzahar,Ekko,LeBlanc,0
113,1529-1665,Red,Maokai,Rek'Sai,Orianna,Caitlyn,Miss Fortune,Rengar,Camille,Kha'Zix,Corki,Syndra,1
114,1529-1666,Blue,Camille,Rek'Sai,Syndra,Caitlyn,Nami,Varus,Malzahar,Kennen,Corki,Tahm Kench,1
115,1529-1666,Red,Singed,Kha'Zix,Ryze,Jhin,Karma,Rengar,Jayce,Ivern,Orianna,Zyra,0
