Champion,counters champ,champ counters
poppy,"('Jinx', 51)","('Twitch', 58)"
swain,"('Sivir', 47)","('Aphelios', 56)"
swain,"('Smolder', 48)","('Draven', 56)"
swain,"('Xayah', 50)","('Samira', 58)"
swain,"('Zeri', 50)","(""Kai'Sa"", 58)"
swain,"('Jinx', 51)","('Twitch', 58)"
tristana,"('Sivir', 47)","('Aphelios', 56)"
tristana,"('Smolder', 48)","('Draven', 56)"
tristana,"('Xayah', 50)","('Samira', 58)"
tristana,"('Zeri', 50)","(""Kai'Sa"", 58)"
tristana,"('Jinx', 51)","('Twitch', 58)"
vladimir,"('Sivir', 47)","('Aphelios', 56)"
vladimir,"('Smolder', 48)","('Draven', 56)"
vladimir,"('Xayah', 50)","('Samira', 58)"
vladimir,"('Zeri', 50)","(""Kai'Sa"", 58)"
vladimir,"('Jinx', 51)","('Twitch', 58)"
volibear,"('Sivir', 47)","('Aphelios', 56)"
volibear,"('Smolder', 48)","('Draven', 56)"
volibear,"('Xayah', 50)","('Samira', 58)"
volibear,"('Zeri', 50)","(""Kai'Sa"", 58)"
volibear,"('Jinx', 51)","('Twitch', 58)"
wukong,"('Sivir', 47)","('Aphelios', 56)"
wukong,"('Smolder', 48)","('Draven', 56)"
wukong,"('Xayah', 50)","('Samira', 58)"
wukong,"('Zeri', 50)","(""Kai'Sa"", 58)"
wukong,"('Jinx', 51)","('Twitch', 58)"
morgana,"('Sivir', 47)","('Aphelios', 56)"
morgana,"('Smolder', 48)","('Draven', 56)"
morgana,"('Xayah', 50)","('Samira', 58)"
morgana,"('Zeri', 50)","(""Kai'Sa"", 58)"
morgana,"('Jinx', 51)","('Twitch', 58)"
rell,"('Sivir', 47)","('Aphelios', 56)"
rell,"('Smolder', 48)","('Draven', 56)"
rell,"('Xayah', 50)","('Samira', 58)"
rell,"('Zeri', 50)","(""Kai'Sa"", 58)"
rell,"('Jinx', 51)","('Twitch', 58)"
renekton,"('Sivir', 47)","('Aphelios', 56)"
renekton,"('Smolder', 48)","('Draven', 56)"
renekton,"('Xayah', 50)","('Samira', 58)"
renekton,"('Zeri', 50)","(""Kai'Sa"", 58)"
renekton,"('Jinx', 51)","('Twitch', 58)"
senna,"('Sivir', 47)","('Aphelios', 56)"
senna,"('Smolder', 48)","('Draven', 56)"
senna,"('Xayah', 50)","('Samira', 58)"
senna,"('Zeri', 50)","(""Kai'Sa"", 58)"
senna,"('Jinx', 51)","('Twitch', 58)"
shen,"('Sivir', 47)","('Aphelios', 56)"
shen,"('Smolder', 48)","('Draven', 56)"
shen,"('Xayah', 50)","('Samira', 58)"
shen,"('Zeri', 50)","(""Kai'Sa"", 58)"
shen,"('Jinx', 51)","('Twitch', 58)"
sion,"('Sivir', 47)","('Aphelios', 56)"
sion,"('Smolder', 48)","('Draven', 56)"
sion,"('Xayah', 50)","('Samira', 58)"
sion,"('Zeri', 50)","(""Kai'Sa"", 58)"
sion,"('Jinx', 51)","('Twitch', 58)"
zac,"('Sivir', 47)","('Aphelios', 56)"
zac,"('Smolder', 48)","('Draven', 56)"
zac,"('Xayah', 50)","('Samira', 58)"
zac,"('Zeri', 50)","(""Kai'Sa"", 58)"
zac,"('Jinx', 51)","('Twitch', 58)"
camille,"('Sivir', 47)","('Aphelios', 56)"
camille,"('Smolder', 48)","('Draven', 56)"
camille,"('Xayah', 50)","('Samira', 58)"
camille,"('Zeri', 50)","(""Kai'Sa"", 58)"
camille,"('Jinx', 51)","('Twitch', 58)"
draven,"('Sivir', 47)","('Aphelios', 56)"
draven,"('Smolder', 48)","('Draven', 56)"
draven,"('Xayah', 50)","('Samira', 58)"
draven,"('Zeri', 50)","(""Kai'Sa"", 58)"
draven,"('Jinx', 51)","('Twitch', 58)"
gangplank,"('Sivir', 47)","('Aphelios', 56)"
gangplank,"('Smolder', 48)","('Draven', 56)"
gangplank,"('Xayah', 50)","('Samira', 58)"
gangplank,"('Zeri', 50)","(""Kai'Sa"", 58)"
gangplank,"('Jinx', 51)","('Twitch', 58)"
