Champion,counters champ,champ counters
xayah,"('Sivir', 47)","('Kalista', 54)"
xayah,"('Aphelios', 48)","('Nilah', 54)"
xayah,"('Ashe', 48)","('Lucian', 53)"
aurelion-sol,"('Yone', 43)","('Mel', 58)"
aurelion-sol,"('Kassadin', 46)","('Azir', 55)"
aurelion-sol,"('Anivia', 47)","('Twisted Fate', 55)"
aurelion-sol,"('Ekko', 47)","('Yasuo', 54)"
aurelion-sol,"('Galio', 47)","('Orianna', 54)"
ryze,"('Veigar', 45)","('Fizz', 59)"
ryze,"('Malzahar', 47)","('Orianna', 56)"
ryze,"('Galio', 48)","('Irelia', 55)"
ryze,"('Ahri', 48)","('Hwei', 55)"
ryze,"('Yone', 49)","('Mel', 55)"
zilean,"('Poppy', 47)","('Swain', 58)"
zilean,"('Soraka', 47)","('Pyke', 57)"
zilean,"('Milio', 47)","('Seraphine', 57)"
zilean,"('Nami', 48)","('Leona', 56)"
zilean,"('Pantheon', 48)","('Mel', 56)"
heimerdinger,"('Garen', 48)","('Aatrox', 57)"
heimerdinger,"(""Cho'Gath"", 49)","('Mordekaiser', 55)"
heimerdinger,"('Sett', 51)","('Yone', 53)"
heimerdinger,"('Darius', 53)","('Darius', 53)"
heimerdinger,"('Yone', 53)","('Sett', 51)"
kassadin,"('Yone', 43)","('Mel', 57)"
kassadin,"('Lux', 48)","('Aurelion Sol', 54)"
kassadin,"('Hwei', 49)","('Akali', 53)"
kassadin,"('Aurora', 49)","('Ahri', 53)"
kassadin,"('Malzahar', 49)","('Veigar', 53)"
kennen,"('Irelia', 44)","('Renekton', 58)"
kennen,"(""Cho'Gath"", 45)","('Yone', 54)"
kennen,"('Gragas', 46)","('Gangplank', 54)"
kennen,"('Vladimir', 46)","('Teemo', 53)"
kennen,"('Mordekaiser', 47)","('Sion', 53)"
naafiri,"('Galio', 44)","('Akali', 55)"
naafiri,"('Yasuo', 46)","('Aurora', 55)"
naafiri,"('Zed', 47)","('Mel', 55)"
naafiri,"('Katarina', 50)","('Sylas', 53)"
naafiri,"('Malzahar', 51)","('Ahri', 52)"
olaf,"('Garen', 44)","('Shen', 58)"
olaf,"('Jax', 46)","('Gangplank', 58)"
olaf,"('Aatrox', 47)","('Ambessa', 56)"
olaf,"('Urgot', 49)","('Jayce', 54)"
olaf,"('Darius', 49)","('Gragas', 54)"
singed,"('Urgot', 44)","(""K'Sante"", 59)"
singed,"(""Cho'Gath"", 47)","('Aatrox', 57)"
singed,"('Kayle', 47)","('Shen', 56)"
singed,"('Gangplank', 47)","('Jax', 55)"
singed,"('Ambessa', 48)","('Mordekaiser', 55)"
sona,"('Yuumi', 46)","('Lux', 58)"
sona,"('Zyra', 47)","('Mel', 56)"
sona,"('Senna', 48)","('Seraphine', 55)"
sona,"('Soraka', 49)","('Rakan', 54)"
sona,"('Lulu', 50)","('Blitzcrank', 54)"
caitlyn,"('Nilah', 46)","('Smolder', 53)"
caitlyn,"('Ziggs', 46)","(""Kai'Sa"", 52)"
caitlyn,"(""Kog'Maw"", 46)","('Kalista', 52)"
caitlyn,"('Jinx', 48)","('Aphelios', 51)"
caitlyn,"('Miss Fortune', 49)","('Corki', 51)"
ashe,"('Ziggs', 46)","(""Kai'Sa"", 53)"
ashe,"('Tristana', 48)","('Samira', 53)"
ashe,"('Jinx', 48)","('Aphelios', 52)"
ashe,"('Nilah', 48)","('Lucian', 52)"
ashe,"('Miss Fortune', 49)","('Smolder', 52)"
karma,"('Bard', 48)","('Mel', 59)"
karma,"('Yuumi', 48)","('Swain', 58)"
karma,"('Maokai', 48)","('Morgana', 56)"
karma,"('Rakan', 49)","('Brand', 56)"
karma,"('Milio', 49)","('Xerath', 53)"
yasuo,"('Taliyah', 42)","('Akshan', 57)"
yasuo,"('Annie', 43)","('Mel', 55)"
yasuo,"(""Cho'Gath"", 44)","('Fizz', 55)"
yasuo,"('Cassiopeia', 45)","('Naafiri', 54)"
yasuo,"('Vex', 45)","('Katarina', 54)"
pantheon,"(""Bel'Veth"", 41)","('Nidalee', 57)"
pantheon,"('Shyvana', 44)","('Talon', 56)"
pantheon,"('Xin Zhao', 45)","('Gragas', 55)"
pantheon,"('Zac', 45)","('Skarner', 53)"
pantheon,"('Warwick', 45)","('Evelynn', 52)"
aatrox,"('Singed', 43)","('Sion', 55)"
aatrox,"('Heimerdinger', 44)","('Shen', 54)"
aatrox,"('Warwick', 44)","('Illaoi', 54)"
aatrox,"('Kled', 46)","('Gangplank', 54)"
aatrox,"('Yorick', 46)","('Rumble', 53)"
kayn,"('Yorick', 44)","('Skarner', 58)"
kayn,"('Fiddlesticks', 45)","('Gwen', 55)"
kayn,"('Rammus', 45)","('Nidalee', 54)"
kayn,"('Wukong', 47)","('Zed', 54)"
kayn,"('Master Yi', 47)","('Udyr', 53)"
vi,"('Yorick', 44)","('Gragas', 57)"
vi,"('Udyr', 45)","('Rengar', 56)"
vi,"('Shyvana', 46)","('Zed', 56)"
vi,"(""Rek'Sai"", 47)","('Nidalee', 54)"
vi,"('Nunu & Willump', 47)","(""Bel'Veth"", 53)"
viktor,"('Anivia', 44)","('Mel', 57)"
viktor,"('Irelia', 45)","('Azir', 54)"
viktor,"('Fizz', 46)","('Vex', 54)"
viktor,"('Talon', 47)","('Cassiopeia', 53)"
viktor,"('Xerath', 47)","('Swain', 53)"
aurora,"('Naafiri', 45)","('Mel', 54)"
aurora,"('Fizz', 45)","('Twisted Fate', 53)"
aurora,"('Diana', 46)","('Lux', 52)"
aurora,"('Irelia', 46)","('Vex', 52)"
aurora,"('Veigar', 46)","('Vladimir', 52)"
ekko,"('Briar', 45)","('Udyr', 54)"
ekko,"(""Bel'Veth"", 46)","('Gwen', 54)"
ekko,"('Shaco', 47)","('Nidalee', 54)"
ekko,"('Kindred', 47)","('Zyra', 54)"
ekko,"('Sejuani', 47)","('Skarner', 53)"
graves,"('Rammus', 45)","('Nidalee', 53)"
graves,"(""Bel'Veth"", 45)","('Hecarim', 53)"
graves,"('Fiddlesticks', 46)","(""Rek'Sai"", 53)"
graves,"('Evelynn', 46)","('Lillia', 52)"
graves,"('Nunu & Willump', 46)","('Elise', 52)"
mordekaiser,"('Warwick', 43)","('Illaoi', 61)"
mordekaiser,"('Pantheon', 44)","('Camille', 57)"
mordekaiser,"('Singed', 45)","('Rumble', 56)"
mordekaiser,"('Heimerdinger', 45)","('Malphite', 53)"
mordekaiser,"('Kayle', 46)","('Tahm Kench', 53)"
hwei,"('Taliyah', 44)","('Swain', 57)"
hwei,"('Ryze', 45)","('Azir', 55)"
hwei,"('Lux', 45)","('Lissandra', 54)"
hwei,"('Qiyana', 46)","('Mel', 54)"
hwei,"('Syndra', 46)","('Sylas', 54)"
leona,"('Soraka', 43)","('Blitzcrank', 57)"
leona,"('Maokai', 43)","('Mel', 55)"
leona,"('Zilean', 44)","('Zyra', 54)"
leona,"('Shaco', 44)","('Nautilus', 53)"
leona,"('Taric', 45)","('Alistar', 53)"
poppy,"('Milio', 46)","('Pyke', 56)"
poppy,"('Nami', 46)","('Mel', 56)"
poppy,"('Thresh', 46)","('Bard', 54)"
poppy,"('Soraka', 46)","('Xerath', 54)"
poppy,"('Janna', 46)","('Morgana', 54)"
shaco,"('Shyvana', 42)","('Zac', 55)"
shaco,"('Nocturne', 44)","('Elise', 54)"
shaco,"('Warwick', 45)","('Nidalee', 54)"
shaco,"('Fiddlesticks', 45)","('Gragas', 54)"
shaco,"('Jarvan IV', 46)","('Ekko', 53)"
sion,"('Dr. Mundo', 44)","('Rumble', 59)"
sion,"('Warwick', 45)","('Pantheon', 58)"
sion,"('Sett', 45)","('Tahm Kench', 56)"
sion,"('Riven', 45)","('Malphite', 55)"
sion,"('Aatrox', 45)","('Gragas', 55)"
tristana,"('Nilah', 45)","('Ziggs', 56)"
tristana,"('Draven', 47)","('Kalista', 55)"
tristana,"('Corki', 48)","('Varus', 55)"
tristana,"('Miss Fortune', 48)","('Jhin', 53)"
tristana,"('Zeri', 49)","('Ashe', 52)"
twitch,"('Nilah', 39)","('Ziggs', 55)"
twitch,"(""Kog'Maw"", 45)","('Smolder', 55)"
twitch,"('Zeri', 48)","('Kalista', 53)"
twitch,"('Vayne', 48)","('Sivir', 53)"
twitch,"('Lucian', 48)","('Varus', 53)"
volibear,"('Quinn', 40)","('Irelia', 57)"
volibear,"('Kayle', 42)","('Tahm Kench', 56)"
volibear,"('Teemo', 42)","('Gwen', 53)"
volibear,"('Vladimir', 42)","('Ambessa', 53)"
volibear,"('Jax', 44)","('Trundle', 53)"
zyra,"('Leona', 46)","('Pyke', 56)"
zyra,"('Yuumi', 47)","('Brand', 54)"
zyra,"('Blitzcrank', 47)","('Sona', 53)"
zyra,"(""Vel'Koz"", 47)","('Bard', 53)"
zyra,"('Tahm Kench', 48)","('Maokai', 53)"
corki,"('Nilah', 46)","('Kalista', 54)"
corki,"('Jinx', 47)","('Samira', 53)"
corki,"('Sivir', 48)","('Draven', 52)"
corki,"('Vayne', 48)","('Tristana', 52)"
corki,"('Caitlyn', 49)","('Smolder', 52)"
morgana,"('Zilean', 44)","('Tahm Kench', 55)"
morgana,"('Elise', 44)","('Blitzcrank', 55)"
morgana,"('Karma', 44)","('Pyke', 55)"
morgana,"('Yuumi', 45)","('Leona', 54)"
morgana,"('Xerath', 46)","('Mel', 54)"
rell,"('Janna', 44)","('Mel', 56)"
rell,"('Brand', 45)","('Xerath', 55)"
rell,"('Nami', 46)","('Blitzcrank', 55)"
rell,"('Braum', 46)","('Nautilus', 55)"
rell,"('Sona', 47)","('Pantheon', 53)"
senna,"('Maokai', 46)","('Mel', 58)"
senna,"('Blitzcrank', 46)","('Pantheon', 54)"
senna,"(""Vel'Koz"", 47)","('Nautilus', 53)"
senna,"('Thresh', 47)","('Braum', 53)"
senna,"('Nami', 48)","('Tahm Kench', 53)"
zac,"('Jarvan IV', 45)","('Rengar', 55)"
zac,"('Lillia', 45)","('Pantheon', 55)"
zac,"('Gwen', 45)","('Karthus', 55)"
zac,"('Shaco', 45)","('Nunu & Willump', 54)"
zac,"('Xin Zhao', 46)","('Elise', 52)"
alistar,"('Janna', 43)","('Mel', 56)"
alistar,"('Brand', 46)","('Seraphine', 56)"
alistar,"('Lulu', 46)","('Renata Glasc', 55)"
alistar,"('Milio', 46)","('Pyke', 55)"
alistar,"('Soraka', 47)","('Nautilus', 53)"
camille,"('Dr. Mundo', 42)","('Jayce', 57)"
camille,"('Mordekaiser', 43)","('Garen', 55)"
camille,"('Malphite', 45)","('Ambessa', 55)"
camille,"('Yorick', 46)","('Renekton', 53)"
camille,"('Urgot', 46)","('Illaoi', 53)"
draven,"('Ziggs', 46)","('Kalista', 57)"
draven,"('Varus', 47)","(""Kai'Sa"", 53)"
draven,"(""Kog'Maw"", 47)","('Tristana', 53)"
draven,"('Corki', 48)","('Samira', 52)"
draven,"('Jinx', 48)","('Ezreal', 52)"
gnar,"('Irelia', 45)","('Trundle', 58)"
gnar,"('Malphite', 45)","(""K'Sante"", 57)"
gnar,"('Yorick', 45)","('Tahm Kench', 56)"
gnar,"('Shen', 46)","('Volibear', 56)"
gnar,"('Ornn', 46)","('Gwen', 55)"
gwen,"('Warwick', 42)","(""Cho'Gath"", 56)"
gwen,"('Garen', 43)","('Yorick', 56)"
gwen,"('Gnar', 45)","('Tahm Kench', 54)"
gwen,"('Sett', 45)","(""K'Sante"", 54)"
gwen,"('Riven', 46)","('Sion', 54)"
lillia,"('Jarvan IV', 44)","('Rammus', 57)"
lillia,"('Master Yi', 45)","('Skarner', 57)"
lillia,"('Fiddlesticks', 46)","('Karthus', 57)"
lillia,"('Talon', 47)","('Wukong', 56)"
lillia,"('Warwick', 47)","('Zac', 55)"
nasus,"('Garen', 46)","('Dr. Mundo', 59)"
nasus,"('Urgot', 47)","('Warwick', 59)"
nasus,"('Sett', 47)","('Irelia', 57)"
nasus,"('Gangplank', 47)","('Tryndamere', 56)"
nasus,"('Aatrox', 48)","('Rumble', 55)"
orianna,"('Xerath', 42)","('Mel', 57)"
orianna,"(""Cho'Gath"", 43)","('Vladimir', 56)"
orianna,"('Taliyah', 43)","('Zoe', 54)"
orianna,"('Ryze', 44)","('Lissandra', 53)"
orianna,"('Diana', 45)","('Akshan', 53)"
rakan,"(""Vel'Koz"", 45)","('Tahm Kench', 55)"
rakan,"('Nami', 45)","('Mel', 55)"
rakan,"('Zilean', 45)","('Pyke', 55)"
rakan,"('Janna', 46)","('Blitzcrank', 54)"
rakan,"('Sona', 46)","('Braum', 53)"
shen,"('Olaf', 42)","('Rumble', 56)"
shen,"('Illaoi', 44)","('Malphite', 55)"
shen,"('Singed', 44)","(""K'Sante"", 55)"
shen,"('Aatrox', 46)","('Jax', 55)"
